spoof,price_level,side,size,L1BidVolume,L1AskVolume,L2BidVolume,L2AskVolume,L3BidVolume,L3AskVolume,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,2,0,0,0,3,1,3,1,1,0.16809103,0.15326643,0.13174003,0.63676333,1.1777078,-2.8408346,0.06555556,0.37475765,0.37370917,0.64087254
0,4,0,0,0,0,4,1,1,2,0.9354845,1.2271985,0.5705159,-0.6053049,0.24222234,0.064403236,-0.40262264,-0.5583245,0.6938244,-0.5181354
0,4,0,0,1,1,2,2,2,3,1.207511,1.2534425,0.79116964,-0.6828495,1.309362,-1.0059898,-0.47257942,-0.7200166,1.0735103,-0.55145967
1,1,0,0,0,0,0,1,0,1,0.15912038,0.1681301,-0.081980065,0.61274827,-0.7052888,-0.16871916,0.32125577,0.5377639,0.09348029,0.5686952
1,1,1,0,0,0,0,0,0,0,0.2069036,0.16843373,-0.1386465,0.63829964,-0.97007203,0.24440858,0.42020148,0.5425561,0.11071238,0.5615635
1,2,0,0,0,2,1,2,1,1,0.25152022,0.27519217,0.10539532,0.47631335,0.6235576,-1.9169908,0.101057805,0.34658414,0.30889177,0.49825537
1,2,0,0,0,0,0,1,1,1,0.43824005,0.3919089,0.010473117,0.29222813,-0.094330885,-0.705675,0.29133862,0.38619703,0.25159502,0.351762
0,3,1,0,1,1,2,1,2,2,0.80770075,1.0873903,0.42906237,-0.3218398,-0.032062836,0.21134314,-0.27024668,-0.50639874,0.68200254,-0.36333537
1,1,1,0,0,1,0,2,1,0,0.37286872,0.3837553,-0.11809297,0.45649886,-0.5661419,-0.15292118,0.38608986,0.32064432,0.25665244,0.37170684
1,1,0,0,0,0,0,1,1,0,0.21091151,0.119549066,-0.07158354,0.59276354,-0.489761,-0.45361692,0.37333393,0.62891835,0.10183257,0.6122763
1,4,1,0,0,1,1,0,0,0,0.9589013,1.2543595,0.3205553,-0.5666167,0.17152846,-0.09872341,-0.14396302,-0.48108667,0.6179302,-0.50530523
0,4,0,0,3,0,1,2,4,3,1.8692906,1.4929585,0.9398824,-1.1803266,1.6219063,-0.5788241,-0.2749585,-0.79824436,1.3996367,-0.8505991
0,4,1,0,0,0,0,2,0,0,1.1012838,1.2543087,0.1387805,-0.5083468,0.26826853,-0.28799862,0.14238283,-0.44362158,0.7003016,-0.48158276
1,1,1,0,0,0,1,1,0,1,0.18779957,0.14928508,-0.16559102,0.68283355,-1.0155303,0.26720443,0.44492096,0.5488408,0.1087226,0.5840569
1,1,0,2,2,4,1,3,2,1,-0.4752524,-0.56220454,-0.49937475,1.6802241,0.31250829,-2.9585955,0.65996677,1.0214374,-0.027729452,1.4182423
0,4,0,0,0,0,2,1,1,2,0.97004664,1.175955,0.53459346,-0.5465313,0.51971495,-0.3713957,-0.31898183,-0.515752,0.7465205,-0.45558387
0,3,0,0,1,1,2,2,2,3,1.0008672,0.9811071,0.5892573,-0.38740957,0.836439,-0.7649752,-0.24943556,-0.39224088,0.8573538,-0.27841878
1,1,1,1,0,0,2,1,3,3,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
0,4,0,0,1,1,2,2,4,4,1.3415095,1.2768191,1.0133932,-0.78368485,1.6789736,-1.1587255,-0.62365246,-0.82526344,1.2595352,-0.6057633
1,1,0,0,0,1,1,3,1,0,0.2616812,0.04700309,-0.13994505,0.6710189,0.11127939,-1.4213077,0.50593424,0.70469075,0.17577821,0.71323735
1,2,1,0,0,0,1,0,1,0,0.34153038,0.32396394,0.0049292147,0.36451912,-0.6994696,0.12371948,0.28063285,0.4496803,0.15174171,0.39311633
0,4,1,0,1,1,2,2,3,3,1.4100757,1.5526031,0.78688955,-0.9121634,0.86737275,-0.046210587,-0.48124188,-1.0192794,1.1899458,-0.8552142
1,1,0,0,1,0,0,0,0,1,0.2856651,0.24737906,-0.027560487,0.45469677,-0.78265774,0.15042648,0.31828868,0.5166458,0.118915826,0.4688282
1,2,1,0,0,0,1,0,0,0,0.2941007,0.25653577,-0.017240226,0.43639675,-0.7642797,0.14172181,0.30855328,0.51221544,0.120714515,0.4585575
1,1,0,0,0,0,0,1,0,0,0.14503759,0.14296782,-0.07918908,0.6273549,-0.6634861,-0.25161803,0.32172793,0.56596,0.08297804,0.5935305
1,2,0,0,0,0,0,2,3,3,0.65939116,0.4166498,0.2316594,0.19839068,0.47353816,-1.0592684,0.19852924,0.2565981,0.5349829,0.2987534
0,4,0,0,0,3,1,1,0,1,0.36669165,0.779131,0.5718532,0.03341435,1.4841597,-2.5153127,-0.60715455,-0.39729774,0.64458287,0.008655712
1,1,1,1,1,0,0,0,0,0,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
1,1,0,0,0,0,0,0,1,0,0.13729286,0.1530996,-0.020095304,0.5662024,-0.7096144,-0.13111705,0.25293234,0.5768261,0.050424516,0.5704904
1,1,1,0,0,0,1,1,1,1,0.20477912,0.16630426,-0.14164288,0.6432521,-0.9751273,0.24694362,0.42295045,0.54325503,0.11049113,0.56406486
0,4,1,0,1,1,2,2,3,3,1.4100757,1.5526031,0.78688955,-0.9121634,0.86737275,-0.046210587,-0.48124188,-1.0192794,1.1899458,-0.8552142
1,1,1,0,0,0,0,0,1,1,0.21544924,0.1769993,-0.12659363,0.6183787,-0.94973755,0.23421147,0.40914392,0.53974485,0.111602455,0.5515017
1,1,1,2,1,0,2,1,2,1,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
0,4,0,0,1,1,0,0,1,0,0.8594115,0.99440116,0.4774058,-0.39910495,1.0136247,-1.3694001,-0.24932058,-0.30605993,0.673867,-0.25155038
0,4,0,0,1,1,0,1,0,0,0.87276435,0.9705791,0.362383,-0.33403933,1.0466764,-1.5387658,-0.11011945,-0.25956023,0.6701621,-0.20932333
1,2,0,0,0,0,0,1,0,0,0.35828334,0.39016548,0.005658552,0.3414261,-0.22625315,-0.58657503,0.2402048,0.35143468,0.22223826,0.3578514
1,1,1,0,1,0,2,1,0,2,0.17156768,0.13301528,-0.18848465,0.72067213,-1.0541544,0.28657314,0.46592414,0.5541807,0.10703191,0.60316867
1,1,1,4,0,0,1,0,1,1,0.096907735,0.064247996,-0.2608974,0.85983133,-1.1699615,0.31002244,0.52486455,0.58361036,0.090139896,0.68173105
1,1,1,3,0,0,1,0,2,1,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
0,4,0,0,0,0,1,0,1,0,0.82298845,1.0179713,0.36347842,-0.4130727,0.47368592,-0.7111429,-0.15780585,-0.24439815,0.5381111,-0.27763706
0,4,0,0,0,0,2,1,1,2,0.97004664,1.175955,0.53459346,-0.5465313,0.51971495,-0.3713957,-0.31898183,-0.515752,0.7465205,-0.45558387
1,1,1,1,0,0,0,1,0,1,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
1,1,0,1,2,1,0,0,1,1,0.06953031,0.08362901,-0.16685279,0.778651,-0.8275519,-0.16534261,0.39072216,0.5762629,0.07292235,0.6650597
0,4,0,0,0,0,1,2,2,3,1.0637082,1.0740068,0.6063463,-0.46778488,1.0753329,-1.0392607,-0.28064287,-0.4906438,0.91992676,-0.35777473
0,4,0,0,1,1,2,2,3,3,1.2701715,1.2422594,0.8557553,-0.7220705,1.5004592,-1.1622634,-0.48990613,-0.7121818,1.1297934,-0.5508995
0,3,0,0,0,0,1,0,2,1,0.68768275,0.7801957,0.31920385,-0.17924719,0.17927721,-0.4665903,-0.06840831,-0.02970396,0.45169643,-0.05945997
1,1,0,1,2,0,2,1,1,1,0.16204375,0.123469114,-0.2019173,0.7428736,-1.0768168,0.2979376,0.47824752,0.5573138,0.10603997,0.6143823
0,4,1,0,0,0,0,1,1,0,1.0869029,1.2709532,0.22867113,-0.5688858,0.22746694,-0.14139596,0.032777876,-0.4650364,0.6867436,-0.5139266
1,1,0,0,1,0,0,1,0,1,0.40350664,0.31873125,-0.05038777,0.3885274,-0.6610747,0.07615152,0.38403738,0.46043327,0.19667037,0.4038484
1,2,0,0,0,0,0,0,0,0,0.29252174,0.41825444,0.056687035,0.31288892,-0.4335615,-0.27715397,0.12911817,0.31018764,0.17205894,0.32047892
1,1,1,1,0,0,1,0,1,1,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
0,4,1,0,0,1,1,1,2,2,1.0635849,1.3677213,0.59206516,-0.6353284,0.5706778,-0.22751248,-0.42474192,-0.81028146,0.9121633,-0.63628405
0,3,1,0,0,0,1,2,3,4,0.93399537,1.0420358,0.46686387,-0.28393644,0.13494128,0.1561121,-0.19557028,-0.5147194,0.8344704,-0.3321063
0,1,1,0,0,0,0,0,1,2,0.20701534,0.16854572,-0.1384889,0.6380392,-0.96980613,0.24427524,0.42005688,0.5425194,0.110724,0.5614319
0,3,1,0,0,0,1,2,2,2,0.8828835,0.9842297,0.22184275,-0.23008116,-0.028215326,0.028321058,0.057391196,-0.2954253,0.6440083,-0.2458788
1,1,0,0,0,1,2,3,3,1,0.4593429,0.13390845,-0.059116527,0.4700353,0.27402097,-1.3701925,0.5185887,0.68666947,0.2545541,0.6054884
1,1,0,0,0,0,0,2,1,1,0.30107486,0.10944939,-0.12600683,0.604099,-0.3077795,-0.69731617,0.49618214,0.6562131,0.16412783,0.63060987
1,1,1,0,2,0,3,2,2,2,0.18687785,0.14836118,-0.16689105,0.68498224,-1.0177237,0.26830432,0.4461137,0.5491441,0.108626574,0.5851422
0,4,0,0,1,0,1,0,3,1,1.2065423,1.2062012,0.6582956,-0.7490615,0.9002798,-0.5781664,-0.29322797,-0.46900147,0.8565664,-0.5155698
0,3,1,0,2,0,2,0,1,1,0.5148537,0.5918426,0.15427852,0.092520386,-0.43896726,0.11401725,0.09468262,0.14660838,0.31447983,0.12603208
1,1,0,1,3,0,1,0,1,0,0.17316902,0.13462037,-0.18622614,0.7169392,-1.0503441,0.2846624,0.4638521,0.5536539,0.107198745,0.60128325
1,1,0,0,0,1,1,2,2,1,0.2655573,0.084008425,-0.083498195,0.59587896,0.019417338,-1.2138095,0.43374765,0.6839624,0.15334195,0.6639792
0,4,1,0,1,1,2,1,1,2,1.0157055,1.4158108,0.57809365,-0.64219904,0.2609299,0.19567981,-0.46623057,-0.8682604,0.86914074,-0.68556756
1,2,1,1,2,0,2,0,1,2,0.155229,0.11663845,-0.21152891,0.7587597,-1.0930326,0.30606928,0.48706543,0.55955565,0.10533014,0.6224062
1,2,1,0,0,0,0,0,0,0,0.35168725,0.35198605,-0.020869493,0.37554857,-0.718407,0.14622208,0.2974996,0.40423563,0.17620268,0.37254825
1,1,1,3,0,0,1,0,0,1,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
0,4,1,0,1,1,2,2,3,4,1.3778241,1.5664895,0.8719144,-0.89185894,0.8508602,0.063248694,-0.6016199,-1.119374,1.2453661,-0.8765672
1,1,1,0,0,0,1,2,2,1,0.27531627,0.27907285,-0.13676126,0.56065214,-0.9089181,0.2444078,0.40243512,0.4207789,0.17301777,0.46071446
0,3,0,0,0,0,1,0,0,0,0.5719217,0.7599393,0.18561342,-0.09158714,-0.1256732,-0.28044054,0.0014280975,0.020657606,0.32843387,-0.020784423
1,1,0,0,0,1,1,3,1,1,0.27576408,0.07216534,-0.14273603,0.6564122,0.06947667,-1.3384088,0.5054621,0.67649466,0.18628052,0.68840206
0,3,0,0,1,0,0,1,2,1,0.9595615,0.8085409,0.30591244,-0.27403975,0.6133632,-0.8522812,0.11932805,-0.010870494,0.62779117,-0.09041606
0,4,1,0,0,0,1,3,2,3,1.3696433,1.4194093,0.50469834,-0.7259407,0.67503864,-0.13810523,-0.14139856,-0.78920114,1.0723301,-0.69423634
1,2,0,4,0,3,4,2,1,1,-1.2831119,-0.7618993,-0.6035166,2.2945669,-1.1030134,-1.7145295,0.30882275,0.9007508,-0.37101677,1.6438874
0,3,1,0,1,0,2,2,2,2,0.76519626,0.92295957,0.24732801,-0.14062776,-0.16460505,0.14195725,-0.017876878,-0.28449768,0.59983796,-0.18899335
1,2,1,1,1,0,0,0,0,0,0.16727656,0.13168067,-0.20120837,0.73644596,-1.0715325,0.29745027,0.47646624,0.5485918,0.110476226,0.6067897
0,4,0,0,1,1,2,2,1,0,1.1188178,1.1273966,0.44742757,-0.57644784,1.1560128,-1.3291503,-0.105993554,-0.36510202,0.79685104,-0.38574743
1,1,0,0,0,0,1,3,2,1,0.4961897,0.15428817,-0.12519445,0.4801703,-0.06036154,-0.8726132,0.6095366,0.6817217,0.24985799,0.5796415
0,4,0,0,1,1,2,3,3,2,1.337507,1.1615111,0.71226615,-0.67383194,1.7371905,-1.6477137,-0.25161183,-0.536931,1.1089128,-0.45268786
0,4,0,0,1,1,2,2,3,4,1.278849,1.2880023,0.94880736,-0.744464,1.4878765,-1.002452,-0.6063258,-0.83309835,1.2032521,-0.6063236
1,1,0,4,4,2,0,1,1,1,-0.55897415,-0.42287832,-0.43646097,1.5884606,-1.0560958,-0.81227785,0.4888497,0.85757303,-0.15037885,1.2269075
0,4,0,0,0,1,0,0,2,2,0.6898716,0.90985066,0.6555021,-0.24795936,1.1225739,-1.4917629,-0.51513773,-0.42070162,0.7446371,-0.17820914
0,4,1,0,1,0,1,1,0,1,0.8757027,1.1557543,0.261029,-0.37833405,-0.034832716,0.082349926,-0.08622332,-0.46007282,0.6268722,-0.40434211
0,1,0,0,1,1,1,1,3,2,0.51185954,0.31301218,0.17195532,0.27531466,0.023078151,-0.6191553,0.22428194,0.42158324,0.3463731,0.39074636
0,4,1,0,1,0,1,2,1,3,1.0711974,1.311857,0.48286307,-0.52070135,0.2774722,0.12595579,-0.2698813,-0.76249105,0.9154992,-0.5804728
1,1,1,4,3,4,1,2,0,1,-0.73237705,-0.34878284,-0.49099302,1.7203401,-1.0626316,-1.0165234,0.36725914,0.64469856,-0.13751039,1.1971296
1,1,0,0,0,1,0,2,2,1,0.21239701,-0.019511104,-0.12833731,0.71115816,0.16950887,-1.5671097,0.49531972,0.776903,0.13825929,0.77686226
0,2,1,0,2,2,3,1,3,1,0.75884604,0.9064336,0.37566254,-0.21656667,-0.07111763,0.120339245,-0.14381431,-0.25889713,0.58462656,-0.19470017
1,1,0,0,2,0,1,0,1,1,0.2948466,0.25658202,-0.014610767,0.43329352,-0.76081014,0.13947067,0.30640835,0.5136253,0.11987218,0.4580177
1,2,1,1,1,0,0,0,0,0,0.16727656,0.13168067,-0.20120837,0.73644596,-1.0715325,0.29745027,0.47646624,0.5485918,0.110476226,0.6067897
1,1,1,0,2,0,2,0,1,1,0.19985324,0.16136691,-0.1485904,0.6547349,-0.9868485,0.25282142,0.4293242,0.5448755,0.10997805,0.5698647
1,2,0,0,0,0,0,1,0,0,0.35828334,0.39016548,0.005658552,0.3414261,-0.22625315,-0.58657503,0.2402048,0.35143468,0.22223826,0.3578514
0,4,1,0,0,0,0,0,2,2,0.93927824,1.2682447,0.50005996,-0.52055913,0.15469092,0.16105756,-0.3539266,-0.67623234,0.7705405,-0.5407818
1,1,1,0,0,2,2,1,2,1,0.3933442,0.47719318,0.014302418,0.2761461,-0.55111134,-0.014534503,0.21515122,0.26125383,0.22979689,0.26060507
1,1,1,0,0,0,1,2,3,3,0.32569677,0.30659202,-0.0665579,0.52372324,-0.8162141,0.24909917,0.3491171,0.3565416,0.2465771,0.42451113
1,1,1,1,0,0,1,0,0,0,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
0,4,0,0,0,1,0,0,0,0,0.54719573,0.84073126,0.34022653,-0.12473066,0.7655451,-1.4988387,-0.24764498,-0.19453841,0.48515353,-0.06848164
0,4,1,0,0,0,0,2,1,2,1.1826901,1.3293169,0.36481267,-0.5903516,0.4266829,-0.14443687,-0.07795331,-0.6537654,0.88730526,-0.5840012
0,4,1,0,0,0,1,1,1,2,0.91131467,1.2388151,0.39612037,-0.4530779,0.05944153,0.1554214,-0.24961688,-0.6227376,0.7274781,-0.49797463
1,1,1,0,0,0,0,0,1,0,0.22388315,0.18545291,-0.114698365,0.5987182,-0.9296689,0.22414777,0.3982309,0.5369703,0.11248091,0.54157144
0,2,0,0,1,1,1,1,3,3,0.7271809,0.6310907,0.46691978,-0.04251899,0.48341876,-0.70035875,-0.115281776,-0.027109079,0.63598835,0.06228113
1,1,1,0,0,0,0,1,1,1,0.20459834,0.16612306,-0.14189787,0.64367354,-0.97555745,0.24715933,0.42318434,0.5433145,0.11047229,0.56427777
0,4,1,0,1,1,2,2,3,3,1.4100757,1.5526031,0.78688955,-0.9121634,0.86737275,-0.046210587,-0.48124188,-1.0192794,1.1899458,-0.8552142
0,4,1,0,1,1,2,3,2,2,1.5188565,1.5640671,0.59923255,-0.9333086,0.92300326,-0.24731475,-0.21555294,-0.9048244,1.1586639,-0.8442244
0,4,1,0,1,1,2,2,4,3,1.5256908,1.5826364,0.8618611,-1.0066272,1.0635544,-0.13733806,-0.49344736,-1.0383838,1.2695671,-0.89873534
1,1,0,0,0,1,2,3,2,0,0.38071543,0.1271038,-0.08750038,0.52114826,0.13491303,-1.2700064,0.49596822,0.6747086,0.20971537,0.61910015
0,4,0,0,0,0,1,0,1,0,0.82298845,1.0179713,0.36347842,-0.4130727,0.47368592,-0.7111429,-0.15780585,-0.24439815,0.5381111,-0.27763706
1,1,0,0,1,1,0,0,0,0,0.16619098,0.22904852,-0.004449263,0.51112336,-0.53878254,-0.33884066,0.20943624,0.48710567,0.09291324,0.5068617
1,1,1,0,2,0,3,1,1,2,0.18074924,0.14221829,-0.17553492,0.69926876,-1.0323068,0.27561727,0.45404375,0.5511602,0.10798827,0.5923582
0,4,1,0,1,1,2,2,4,4,1.4934392,1.5965228,0.94688594,-0.9863229,1.0470419,-0.02787885,-0.61382526,-1.1384785,1.3249875,-0.92008847
0,4,0,0,0,1,0,2,2,2,0.8418982,0.83984035,0.55462813,-0.19626994,1.5708716,-2.143041,-0.2713889,-0.31203264,0.8497933,-0.09263475
0,4,0,0,0,0,1,2,3,4,1.1350461,1.1085665,0.7639841,-0.52939916,1.2538472,-1.0357229,-0.4143892,-0.6037254,1.0496686,-0.41263855
0,4,0,0,1,1,3,2,4,4,1.3951993,1.3783221,1.0488409,-0.8982011,1.5260187,-0.8129616,-0.67386323,-0.90911895,1.268449,-0.71564907
0,2,0,0,1,2,2,2,4,4,0.76877964,0.6452278,0.6863503,-0.058199838,1.0631287,-1.2749012,-0.3347413,-0.19587272,0.83946145,0.04014869
0,2,0,0,0,0,1,1,1,3,0.51174694,0.57552433,0.18837297,0.13647121,-0.28575912,-0.0753189,0.061097182,0.102738686,0.3787524,0.14495972
1,1,1,4,0,0,2,1,1,1,0.12399235,0.08532888,-0.25558543,0.8315762,-1.1673608,0.34334245,0.5274839,0.56983167,0.10207668,0.6591848
0,2,1,0,1,1,3,1,3,2,0.53361446,0.66777617,0.27479732,0.062400267,-0.38820058,0.22999224,-0.06254719,-0.039929055,0.4317962,0.04283397
1,2,1,0,0,0,0,0,0,0,0.35168725,0.35198605,-0.020869493,0.37554857,-0.718407,0.14622208,0.2974996,0.40423563,0.17620268,0.37254825
0,3,0,0,1,1,1,1,3,1,0.91646945,0.81194013,0.48272794,-0.29317176,0.981507,-1.2609959,-0.105586246,-0.11305206,0.7052275,-0.099911615
0,4,1,0,0,1,1,2,3,3,1.2109361,1.367276,0.69926596,-0.6710981,0.9733409,-0.5496136,-0.43661398,-0.86902875,1.0944833,-0.64836067
1,2,1,0,0,0,0,0,0,0,0.35168725,0.35198605,-0.020869493,0.37554857,-0.718407,0.14622208,0.2974996,0.40423563,0.17620268,0.37254825
0,4,0,0,0,0,0,0,1,1,0.77797616,0.9622114,0.42108262,-0.32095015,0.6140581,-0.89709556,-0.22401468,-0.28145906,0.60265595,-0.22317539
1,1,1,0,1,0,1,1,0,1,0.1798208,0.14128768,-0.17684437,0.70143306,-1.034516,0.27672514,0.45524508,0.55146563,0.10789153,0.59345126
0,2,0,0,1,1,3,2,3,3,0.91057384,0.79909146,0.4873786,-0.24570666,0.40165812,-0.33446997,-0.0938292,-0.14048567,0.7063942,-0.11470328
1,1,0,2,4,0,0,1,1,0,0.19955015,0.03280741,-0.26000684,0.8125735,-1.0467209,0.2175689,0.61706203,0.67412645,0.113892704,0.7016264
1,1,0,0,0,1,1,3,2,1,0.34163797,0.048746526,-0.13513048,0.62182087,0.24320179,-1.5404077,0.55706817,0.7394532,0.20513502,0.70714796
1,1,0,1,1,1,0,1,0,0,-0.18613172,-0.10973686,-0.2563432,1.0857311,-0.7806145,-0.62681466,0.3994115,0.6780863,-0.011092633,0.88532436
1,1,1,0,0,0,1,1,0,1,0.18779957,0.14928508,-0.16559102,0.68283355,-1.0155303,0.26720443,0.44492096,0.5488408,0.1087226,0.5840569
1,1,0,1,1,0,1,0,0,0,0.17214704,0.133596,-0.1876675,0.71932155,-1.0527759,0.28588185,0.46517444,0.55399007,0.10709229,0.6024865
0,2,1,0,0,1,2,2,3,3,0.7536201,0.84805036,0.311724,-0.09279297,-0.13484277,0.15796456,-0.0499873,-0.24762052,0.6280173,-0.13081987
1,2,1,0,0,0,2,2,3,1,0.5762741,0.5976484,-0.0029063225,0.14911608,-0.46700412,0.05297795,0.29634714,0.1721336,0.335432,0.1421583
0,4,0,0,1,1,2,2,4,4,1.3415095,1.2768191,1.0133932,-0.78368485,1.6789736,-1.1587255,-0.62365246,-0.82526344,1.2595352,-0.6057633
0,4,1,0,1,0,0,0,0,1,0.85141605,1.111105,0.28628916,-0.36728752,-0.03459304,0.07363644,-0.10320489,-0.40699852,0.60022235,-0.36803544
0,2,0,0,1,1,2,2,2,3,0.7942235,0.70877165,0.38734496,-0.091969565,0.36351585,-0.52396053,-0.026291624,-0.06446498,0.6411973,-0.0053777248
1,2,1,4,0,0,1,2,1,1,-0.26217014,-0.2152347,-0.3313223,1.234427,-1.2044398,-0.13172244,0.4901383,0.76628274,-0.06811401,0.98064137
0,4,1,0,1,0,1,1,0,3,0.8386314,1.1644588,0.42947334,-0.34462446,-0.024058454,0.2556053,-0.2944572,-0.6223971,0.74200267,-0.4316396
1,1,0,0,0,0,0,0,1,0,0.13729286,0.1530996,-0.020095304,0.5662024,-0.7096144,-0.13111705,0.25293234,0.5768261,0.050424516,0.5704904
0,2,1,0,0,0,0,0,0,0,0.35168725,0.35198605,-0.020869493,0.37554857,-0.718407,0.14622208,0.2974996,0.40423563,0.17620268,0.37254825
1,2,1,0,1,0,2,0,2,2,0.2986409,0.2780814,0.06116637,0.41057178,-0.72313803,0.18290415,0.21781725,0.44805562,0.16350248,0.42839766
0,4,1,0,0,0,1,2,2,4,1.1386554,1.3727812,0.6160909,-0.6034545,0.4225936,0.14601639,-0.39551955,-0.8811978,1.0210854,-0.65621716
1,1,0,1,1,0,1,1,0,1,0.15286225,0.11426616,-0.21486701,0.76427686,-1.0986644,0.3088934,0.49012792,0.56033427,0.105083674,0.6251929
0,3,0,0,0,0,1,1,1,1,0.7010355,0.75637364,0.20418106,-0.114181474,0.21232906,-0.63595605,0.070792854,0.016795777,0.4479915,-0.01723291
1,1,1,0,1,0,1,1,0,1,0.1798208,0.14128768,-0.17684437,0.70143306,-1.034516,0.27672514,0.45524508,0.55146563,0.10789153,0.59345126
1,1,0,0,0,0,0,0,0,0,0.15762156,0.15139481,-0.032743633,0.56713575,-0.757474,-0.046870857,0.28308135,0.5847351,0.056960136,0.5697545
0,4,1,0,0,0,0,0,0,0,0.8783577,1.1116056,0.20083472,-0.40143138,-0.025028758,-0.032565027,0.0057665408,-0.3158471,0.53500915,-0.3593763
0,4,0,0,0,1,1,1,2,2,0.81957495,0.9763486,0.6405131,-0.33663106,1.1937683,-1.4716381,-0.44347423,-0.4502228,0.80612916,-0.24530794
0,4,1,0,1,1,2,1,3,3,1.2113392,1.4920886,0.8132572,-0.80998147,0.6314402,0.12845173,-0.6149848,-1.0111812,1.0832807,-0.7958419
1,1,0,0,0,0,0,0,0,1,0.19011685,0.17479783,-0.036611587,0.54409826,-0.7736127,0.013544828,0.2979526,0.5666879,0.074120134,0.54561365
0,4,1,0,1,2,2,2,4,4,1.426077,1.5812714,1.0417272,-0.9477774,1.3858849,-0.5128052,-0.762297,-1.2114831,1.3778086,-0.89690953
1,2,0,0,0,1,0,2,1,0,0.34568608,0.22594306,-0.0483042,0.47442734,0.47481954,-1.7829666,0.36266273,0.5276153,0.24816275,0.54727256
